Região;UF;Município;IBGE;N_Fam_Cad_Geral;N_Fam_Cad_Urbano;N_Fam_Cad_Rural;N_Fam_Cad_Geral_Ext_Pob;N_Fam_Cad_Urbano_Ext_Pob;N_Fam_Cad_Rural_Ext_Pob;N_Pes_Cad;N_Fam_PBF;N_Pes_PBF;N_Crianca_<5_PBF_2018_DAI;%_DAI_Crianca_<5_PBF_2018;N_Crianca_<5_PBF_2019_DAI;%_DAI_Crianca_<5_PBF_2019;N_Crianca_<2_PBF_2018_DAI;%_DAI_Crianca_<2_PBF_2018;N_Estab_AF_2017;N_DAP;N_DAP_CAD;N_Fam_Fomento;N_Cisterna_1;N_Cisterna_2;N_Cisterna_Escola;N_AF_PAA
Sudeste;MG;Crucilândia;312060;886;633;253;272;165;107;2114;337;1072;9;9.38;11;11.83;5;25;325;305;127;0;0;0;0;1
Sudeste;MG;Cruzeiro da Fortaleza;312070;936;858;78;392;350;42;2603;272;897;17;44449;21;16.15;6;12.77;145;67;19;0;0;0;0;0
Sudeste;MG;Cruzília;312080;2753;2664;89;1420;1361;59;6651;1194;3286;40;16.67;24;44359;24;36.92;341;130;28;0;0;0;0;0
Sudeste;MG;Cuparaque;312083;931;841;90;516;464;52;2353;430;1270;24;44241;14;10.85;6;13.64;170;33;13;0;0;0;0;0
Sudeste;MG;Curral de Dentro;312087;2572;2199;373;1673;1416;257;6551;1408;4261;38;14.62;46;11.73;13;20.64;301;285;223;96;52;0;0;21
Sudeste;MG;Curvelo;312090;10572;8797;1775;4439;3487;952;27117;4927;14356;108;7.91;103;44446;48;14.15;645;171;31;15;0;0;0;117
Sudeste;MG;Datas;312100;1598;1108;490;796;540;256;4520;631;2112;25;9.36;16;44261;14;17.28;161;122;101;67;0;0;0;329
Sudeste;MG;Delfim Moreira;312110;1070;376;694;337;124;213;3215;496;1612;18;11.18;19;44209;5;44239;367;156;53;0;0;0;0;0
Sudeste;MG;Delfinópolis;312120;1022;866;156;200;165;35;2723;275;913;12;10.43;6;5.45;2;7.69;277;80;4;0;0;0;0;0
Sudeste;MG;Delta;312125;1794;1749;45;1159;1139;20;4468;847;2543;26;8.55;30;9.62;15;14.29;37;8;3;0;0;0;0;1
Sudeste;MG;Descoberto;312130;1067;989;78;362;331;31;2573;383;1022;5;4.81;8;7.77;1;3.57;207;67;25;3;0;0;0;0
Sudeste;MG;Desterro de Entre Rios;312140;718;407;311;262;127;135;2044;350;1058;14;15.73;5;10;3;44329;847;112;12;0;0;0;0;32
Sudeste;MG;Desterro do Melo;312150;484;237;247;290;116;174;1312;302;827;4;44385;6;10.34;2;15.38;357;112;62;17;0;0;0;68
Sudeste;MG;Diamantina;312160;9339;7425;1914;3579;2615;964;24683;3694;11192;151;13.73;111;12.18;43;16.48;517;737;495;215;0;0;0;316
Sudeste;MG;Diogo de Vasconcelos;312170;910;287;623;464;104;360;2394;501;1438;14;10.85;5;4.13;7;44333;507;68;36;0;0;0;0;139
Sudeste;MG;Dionísio;312180;1412;1247;165;606;535;71;3710;661;1908;17;8.67;15;8.72;11;18.96;320;95;32;8;0;0;0;26
Sudeste;MG;Divinésia;312190;690;558;132;207;162;45;1872;237;729;3;44411;5;7.46;1;5.26;158;39;8;1;0;0;0;0
Sudeste;MG;Divino;312200;4470;2612;1858;1493;701;792;12030;2070;6582;83;10.92;69;44326;38;17.67;1884;467;265;4;0;0;0;0
Sudeste;MG;Divino das Laranjeiras;312210;1412;1288;124;779;708;71;3071;661;1725;12;6.42;8;4.97;6;10.52;180;79;44;0;0;0;0;0
Sudeste;MG;Divinolândia de Minas;312220;1604;1287;317;895;697;198;4895;866;2958;70;44520;62;22.55;30;44406;157;47;26;14;0;0;0;0
Sudeste;MG;Divinópolis;312230;14920;14440;480;2295;2159;136;37811;3660;11307;83;44205;93;44205;32;44242;1054;160;14;0;0;0;0;260
Sudeste;MG;Divisa Alegre;312235;2005;1967;38;1132;1110;22;4922;929;2773;32;11.59;26;9.15;13;13.83;77;81;68;32;30;0;0;0
Sudeste;MG;Divisa Nova;312240;744;695;49;172;163;9;2321;252;908;6;44353;14;13.86;3;44511;330;62;4;0;0;0;0;0
Sudeste;MG;Divisópolis;312245;2753;2241;512;1916;1516;400;6848;1519;4485;88;22.68;90;44274;23;19.17;309;494;382;71;147;153;5;15
Sudeste;MG;Dom Bosco;312247;1027;722;305;428;303;125;2390;410;1180;10;13.33;14;15.91;3;18.75;309;94;32;16;0;0;0;24
Sudeste;MG;Dom Cavati;312250;969;878;91;224;198;26;2547;291;911;9;8.74;6;7.32;4;14.28;126;24;13;0;0;0;0;48
Sudeste;MG;Dom Joaquim;312260;972;630;342;605;364;241;2540;580;1688;9;5.56;2;44440;0;0;121;41;18;21;0;0;0;13
Sudeste;MG;Dom Silvério;312270;745;626;119;314;244;70;2023;317;908;10;12.35;11;14.47;7;25.93;209;64;11;12;0;0;0;13
Sudeste;MG;Dom Viçoso;312280;428;162;266;56;24;32;1231;122;409;2;44445;4;11.43;1;44511;169;19;6;0;0;0;0;0
Sudeste;MG;Dona Eusébia;312290;833;780;53;229;213;16;2374;279;907;9;8.74;8;10;3;44511;165;63;11;0;0;0;0;2
Sudeste;MG;Dores de Campos;312300;1018;944;74;132;120;12;3028;286;931;28;33.33;12;12;11;47.83;123;26;4;0;0;0;0;0
Sudeste;MG;Dores de Guanhães;312310;978;398;580;382;159;223;2853;426;1381;11;9.65;9;10.71;6;44431;275;37;7;23;0;0;0;0
Sudeste;MG;Dores do Indaiá;312320;2054;2009;45;342;327;15;5165;588;1745;14;8.54;23;44518;3;9.38;338;162;25;0;0;0;0;0
Sudeste;MG;Dores do Turvo;312330;871;468;403;447;219;228;2492;465;1443;19;44391;23;19.17;6;17.64;256;138;33;15;0;0;0;21
Sudeste;MG;Doresópolis;312340;263;225;38;98;81;17;658;94;294;3;10;3;10.71;2;20;124;20;3;0;0;0;0;0
Sudeste;MG;Douradoquara;312350;257;226;31;130;114;16;512;111;269;4;11.76;3;44299;4;28.57;168;63;4;0;0;0;0;0
Sudeste;MG;Durandé;312352;1589;727;862;841;329;512;4701;844;2864;17;44415;23;44263;4;7.27;528;428;203;2;0;0;0;0
Sudeste;MG;Elói Mendes;312360;3065;2768;297;808;726;82;8672;1071;3495;95;27.86;42;32.56;24;38.09;741;272;50;0;0;0;0;197
Sudeste;MG;Engenheiro Caldas;312370;1933;1787;146;988;919;69;4876;1023;2796;33;13.52;17;10.83;15;23.81;168;24;8;0;0;0;0;10
Sudeste;MG;Engenheiro Navarro;312380;2194;1580;614;1643;1182;461;4885;1318;3373;33;9.51;39;10.68;11;8.66;354;259;200;154;0;0;0;301
Sudeste;MG;Entre Folhas;312385;1274;942;332;401;269;132;3368;556;1697;16;8.56;21;12.14;11;18.97;279;107;61;0;0;0;0;145
Sudeste;MG;Entre Rios de Minas;312390;1942;1592;350;518;406;112;5436;726;2315;28;12.84;18;9.18;9;18;680;230;61;5;0;0;0;0
Sudeste;MG;Ervália;312400;2932;1665;1267;817;392;425;8174;1370;4414;59;13.85;34;8.27;18;17.64;1609;611;215;20;0;0;0;1
Sudeste;MG;Esmeraldas;312410;12397;9088;3309;5724;4228;1496;33124;5363;16721;163;9.41;181;44297;73;16.74;338;67;16;4;0;0;0;69
Sudeste;MG;Espera Feliz;312420;3940;2652;1288;1716;1101;615;10255;2157;6231;89;14.66;91;15.27;31;20.53;971;577;201;0;0;0;0;0
Sudeste;MG;Espinosa;312430;8035;4485;3550;4792;2434;2358;20964;4391;12837;150;12.65;126;44208;55;18.97;2205;3318;2485;389;2455;300;2;469
Sudeste;MG;Espírito Santo do Dourado;312440;969;433;536;128;48;80;3087;360;1355;52;44312;22;44209;17;35.42;542;109;46;0;0;0;0;0
Sudeste;MG;Estiva;312450;1201;599;602;280;123;157;3481;501;1755;5;3.27;14;10.37;2;4.66;1332;218;41;0;0;0;0;0
Sudeste;MG;Estrela Dalva;312460;464;364;100;183;130;53;1155;180;594;6;10.17;8;10.81;5;29.41;68;13;1;0;0;0;0;0
Sudeste;MG;Estrela do Indaiá;312470;481;471;10;107;103;4;1146;125;336;9;21.95;7;44333;4;22.23;188;11;1;0;0;0;0;0
Sudeste;MG;Estrela do Sul;312480;1050;936;114;388;327;61;2553;402;1169;28;44331;12;44354;8;18.18;373;75;7;0;0;0;0;0
Sudeste;MG;Eugenópolis;312490;2251;1624;627;1038;748;290;5274;990;2657;32;44209;23;11.73;12;14.28;733;270;117;1;0;0;0;105
Sudeste;MG;Ewbank da Câmara;312500;1066;994;72;646;606;40;2555;462;1371;20;10.36;17;44324;13;20.31;26;0;0;0;0;0;0;0
Sudeste;MG;Extrema;312510;3982;3052;930;692;492;200;10525;840;2760;40;9.43;23;9.62;15;13.39;340;60;7;0;0;0;0;5
Sudeste;MG;Fama;312520;261;215;46;88;71;17;665;106;328;4;13.79;2;44448;2;28.58;111;80;15;0;0;0;0;28
Sudeste;MG;Faria Lemos;312530;646;506;140;457;355;102;1511;349;1015;15;14.42;7;36.84;9;33.33;166;30;5;0;0;0;0;0
Sudeste;MG;Felício dos Santos;312540;1637;781;856;633;289;344;4414;698;2174;11;6.18;13;44383;5;8.77;622;216;183;62;0;0;0;199
Sudeste;MG;Felisburgo;312560;1976;1630;346;1183;948;235;5091;1138;3386;64;16.54;51;17.65;27;44284;264;427;352;104;240;0;2;31
Sudeste;MG;Felixlândia;312570;2392;1908;484;761;602;159;5576;1014;3017;46;12.37;32;10.53;23;44522;437;98;20;7;0;0;0;7
Sudeste;MG;Fernandes Tourinho;312580;621;474;147;194;143;51;1662;254;740;6;8.82;5;6.49;5;27.78;99;26;6;0;0;0;0;0
Sudeste;MG;Ferros;312590;1615;386;1229;802;157;645;4599;885;2682;25;11.31;34;17;15;21.42;744;82;24;19;0;0;0;0
Sudeste;MG;Fervedouro;312595;2075;838;1237;1035;331;704;5855;1162;3818;31;9.48;33;44386;13;44298;1065;342;145;0;0;0;0;101
Sudeste;MG;Florestal;312600;1196;1035;161;122;89;33;2822;223;748;9;9.57;7;10.14;4;17.39;166;40;8;0;0;0;0;0
Sudeste;MG;Formiga;312610;7198;6757;441;1738;1609;129;17906;2036;5698;27;44203;27;6.25;10;9.34;1164;303;31;0;0;0;0;171
Sudeste;MG;Formoso;312620;2583;1530;1053;1539;947;592;6516;1314;4243;73;17.26;44;10.55;46;35.11;433;498;404;37;247;0;0;173
Sudeste;MG;Fortaleza de Minas;312630;307;260;47;81;63;18;845;105;364;6;13.33;6;44511;6;37.5;259;42;5;0;0;0;0;1
Sudeste;MG;Fortuna de Minas;312640;510;394;116;158;119;39;1370;164;544;1;1.92;2;3.77;0;0;109;38;16;5;0;0;0;77
Sudeste;MG;Francisco Badaró;312650;2093;803;1290;1043;320;723;5179;1014;2781;47;27.65;15;6.91;15;38.46;1165;531;435;101;1287;88;0;37
Sudeste;MG;Francisco Dumont;312660;1330;1003;327;682;508;174;3203;659;1793;13;44353;26;13.83;5;8.77;262;235;162;73;0;0;0;174
Sudeste;MG;Francisco Sá;312670;5114;3144;1970;3195;1838;1357;13126;3112;8710;54;7.77;93;14.53;25;13.22;1487;1346;874;264;1318;238;3;681
Sudeste;MG;Franciscópolis;312675;1326;607;719;893;375;518;3325;799;2322;13;44322;10;4.81;5;7.82;449;188;130;96;0;0;0;368
Sudeste;MG;Frei Gaspar;312680;1413;693;720;1014;462;552;3901;915;2813;34;12.45;32;11.76;15;17.85;303;323;197;13;0;0;0;77
Sudeste;MG;Frei Inocêncio;312690;3018;2559;459;1963;1636;327;6231;1468;3854;54;14.63;34;10.43;15;14.15;151;78;60;10;0;0;0;75
Sudeste;MG;Frei Lagonegro;312695;983;276;707;651;170;481;2574;590;1765;15;8.93;10;8.55;10;20.83;308;215;162;60;0;0;0;162
Sudeste;MG;Fronteira;312700;2106;1918;188;905;825;80;5436;868;2593;62;17.97;46;14.65;35;34.32;241;47;10;0;0;0;0;0
Sudeste;MG;Fronteira dos Vales;312705;1463;994;469;1165;766;399;3386;906;2455;17;44357;34;16.92;10;19.61;301;169;131;57;0;0;0;0
Sudeste;MG;Fruta de Leite;312707;1403;769;634;709;352;357;3930;702;2253;23;14.74;31;17.71;8;19.52;571;589;462;125;60;0;0;87
Sudeste;MG;Frutal;312710;6574;6218;356;1106;1036;70;14920;1754;5381;62;44450;47;9.49;33;44309;1245;438;33;0;0;0;0;2
Sudeste;MG;Funilândia;312720;1100;833;267;503;374;129;2831;456;1399;20;17.24;28;44365;10;44282;58;43;23;2;0;0;0;24
Sudeste;MG;Galiléia;312730;1665;1525;140;703;624;79;3863;729;2018;30;44539;51;44517;14;16.66;261;64;13;1;0;0;0;2
Sudeste;MG;Gameleiras;312733;1398;374;1024;741;189;552;3621;719;2005;16;8.84;16;44386;8;12.91;769;857;680;167;305;32;0;211
Sudeste;MG;Glaucilândia;312735;750;337;413;351;134;217;1937;384;1019;7;44511;6;10;2;20;303;228;153;193;105;0;0;119
Sudeste;MG;Goiabeira;312737;810;704;106;395;345;50;1765;386;1001;8;9.88;6;8.33;5;16.13;158;4;1;0;0;0;0;0
Sudeste;MG;Goianá;312738;725;523;202;310;212;98;1793;243;709;8;11.59;10;14.29;5;19.23;118;26;20;0;0;0;0;0
Sudeste;MG;Gonçalves;312740;436;109;327;60;9;51;1082;92;276;2;7.41;0;0;1;16.67;374;53;12;0;0;0;0;1
Sudeste;MG;Gonzaga;312750;1598;887;711;550;285;265;4503;644;2049;28;14.36;15;9.43;9;18;353;39;25;27;0;0;0;2
Sudeste;MG;Gouveia;312760;1830;1409;421;488;322;166;5273;648;2149;25;11.57;26;14.36;12;22.22;332;144;78;42;0;0;0;303
Sudeste;MG;Governador Valadares;312770;45033;42329;2704;9741;8895;846;106833;13425;39142;923;17.99;878;19.35;579;42.04;1117;279;103;11;0;0;0;64
Sudeste;MG;Grão Mogol;312780;2471;894;1577;1371;399;972;7161;1453;4753;32;7.62;49;12.56;14;12.84;1404;671;416;199;762;23;11;13
Sudeste;MG;Grupiara;312790;251;235;16;41;33;8;582;49;145;4;14.29;0;0;3;50;59;22;4;0;0;0;0;0
Sudeste;MG;Guanhães;312800;5124;4122;1002;1540;1146;394;14075;2134;6674;79;12.97;57;10.18;38;26.21;529;102;26;14;0;0;0;41
Sudeste;MG;Guapé;312810;1551;951;600;384;219;165;4117;552;1785;16;7.73;19;9.84;9;13.44;1227;498;92;0;0;0;0;790
Sudeste;MG;Guaraciaba;312820;1779;825;954;1082;444;638;4619;1069;3011;44;44547;40;44363;16;26.67;982;108;34;19;0;0;0;139
Sudeste;MG;Guaraciama;312825;1394;889;505;1055;642;413;3178;824;2143;33;12.41;22;8.98;12;15.79;417;361;221;149;40;0;0;204
Sudeste;MG;Guaranésia;312830;2844;2680;164;455;422;33;7817;681;2381;65;18.47;39;13.93;24;23.53;411;168;41;1;0;0;0;0
Sudeste;MG;Guarani;312840;1433;1228;205;706;600;106;3722;536;1603;14;44447;19;44418;2;4.26;293;105;27;4;0;0;0;1
Sudeste;MG;Guarará;312850;992;918;74;446;401;45;2324;316;893;11;11.22;8;10.81;4;44542;64;10;4;0;0;0;0;0
Sudeste;MG;Guarda-Mor;312860;1103;810;293;179;141;38;2810;334;1074;14;9.59;12;10.26;5;44511;486;119;45;22;0;0;0;31
Sudeste;MG;Guaxupé;312870;6214;5974;240;1015;976;39;16383;1592;5125;44;9.69;47;44328;13;11.82;233;145;20;0;0;0;0;4
Sudeste;MG;Guidoval;312880;1485;1232;253;681;536;145;3650;510;1539;24;11.16;24;13.64;6;10.34;336;110;45;7;0;0;0;10
Sudeste;MG;Guimarânia;312890;2301;2139;162;879;797;82;5593;597;1864;44;17.96;44;19.47;18;44400;404;147;39;0;0;0;0;1
Sudeste;MG;Guiricema;312900;1261;735;526;490;242;248;3167;588;1841;13;8.72;13;10.57;8;44337;948;196;69;0;0;0;0;2
Sudeste;MG;Gurinhatã;312910;1576;973;603;314;193;121;2867;410;1025;10;10.87;14;11.97;1;4.17;607;237;74;0;0;0;0;0
Sudeste;MG;Heliodora;312920;1006;826;180;276;229;47;2625;350;1088;5;4.17;6;5.83;1;3.57;398;135;29;0;0;0;0;0
Sudeste;MG;Iapu;312930;2445;1933;512;844;643;201;5890;1065;3089;29;44356;31;44357;14;44333;680;125;57;4;0;0;0;91
Sudeste;MG;Ibertioga;312940;1005;789;216;463;358;105;2703;473;1442;11;8.59;13;10.92;5;15.63;164;66;20;0;0;0;0;1
Sudeste;MG;Ibiá;312950;3099;2829;270;727;657;70;7519;1074;3278;52;11.63;75;44454;25;44518;501;106;54;0;0;0;0;0
Sudeste;MG;Ibiaí;312960;1867;1450;417;1204;932;272;4817;1163;3410;51;12.78;76;18.31;26;23.22;262;304;210;79;0;0;0;62
Sudeste;MG;Ibiracatu;312965;1657;1063;594;963;590;373;4454;926;2867;54;17.88;43;44270;25;27.77;375;676;511;126;310;265;4;56
Sudeste;MG;Ibiraci;312970;1453;1232;221;728;622;106;4004;507;1665;15;7.58;27;44296;4;5.98;577;181;16;0;0;0;0;0
Sudeste;MG;Ibirité;312980;25010;24934;76;9270;9241;29;67022;9987;30333;411;44205;388;9.58;166;44359;42;32;13;0;0;0;0;0
Sudeste;MG;Ibitiúra de Minas;312990;517;404;113;172;129;43;1250;209;586;8;10.81;3;5.56;2;44445;372;68;5;0;0;0;0;0
Sudeste;MG;Ibituruna;313000;479;461;18;218;209;9;1361;222;709;3;4.62;2;3.13;1;5;129;69;19;0;0;0;0;0
Sudeste;MG;Icaraí de Minas;313005;2598;900;1698;1586;509;1077;7304;1448;4595;33;7.43;51;44421;15;44328;882;970;721;93;0;0;0;638
Sudeste;MG;Igarapé;313010;5319;5231;88;2499;2463;36;14192;2553;8014;101;12.55;87;44330;38;18.18;108;37;3;0;0;0;0;31
Sudeste;MG;Igaratinga;313020;1101;963;138;164;136;28;3236;274;892;8;9.52;10;11.49;2;44385;373;29;5;0;0;0;0;0
Sudeste;MG;Iguatama;313030;1190;1089;101;543;489;54;2627;418;1161;48;24.62;30;15.96;20;38.46;323;62;1;0;0;0;0;0
Sudeste;MG;Ijaci;313040;831;763;68;420;389;31;2506;335;1130;8;7.27;18;15.38;4;14.28;95;19;3;0;0;0;0;0
Sudeste;MG;Ilicínea;313050;1799;1549;250;414;350;64;4858;604;1988;17;9.24;26;14.94;5;44450;791;416;90;0;0;0;0;215
Sudeste;MG;Imbé de Minas;313055;1935;850;1085;1485;600;885;5077;1273;3777;29;8.29;26;7.88;11;9.32;918;251;161;15;0;0;0;103
Sudeste;MG;Inconfidentes;313060;977;609;368;150;81;69;2352;318;949;9;9.89;9;11.69;4;13.79;776;234;36;0;0;0;0;1
Sudeste;MG;Indaiabira;313065;1684;788;896;1169;474;695;4872;1043;3316;20;7.43;19;8.23;10;44330;1047;469;326;174;876;0;5;26
Sudeste;MG;Indianópolis;313070;959;802;157;430;364;66;2472;428;1251;11;8.33;11;7.38;5;9.61;276;73;11;0;0;0;0;0
Sudeste;MG;Ingaí;313080;399;309;90;113;92;21;1090;146;424;1;3.13;4;13.33;0;0;142;40;4;0;0;0;0;0
Sudeste;MG;Inhapim;313090;5323;3004;2319;3115;1525;1590;13673;2830;8232;50;6.64;77;44449;23;11.22;1990;936;473;17;0;0;0;538
Sudeste;MG;Inhaúma;313100;1349;977;372;797;593;204;3453;618;1880;23;9.96;21;9.29;16;25;78;21;10;0;0;0;0;54
Sudeste;MG;Inimutaba;313110;1488;1155;333;609;452;157;3868;629;1866;19;9.27;11;44382;8;44451;28;26;8;28;0;0;0;53
Sudeste;MG;Ipaba;313115;2825;2616;209;1215;1111;104;7851;1344;4032;28;7.18;69;17.74;12;12.24;115;73;10;0;0;0;0;145
Sudeste;MG;Ipanema;313120;3873;3448;425;1915;1659;256;9006;1743;4939;66;44299;71;14.46;30;24.59;757;212;71;10;0;0;0;7
Sudeste;MG;Ipatinga;313130;32206;31975;231;14049;13927;122;81171;12163;34485;396;44334;401;13.35;194;30.13;62;44;14;14;0;0;0;308
Sudeste;MG;Ipiaçu;313140;696;674;22;322;311;11;1464;247;652;7;10.14;5;7.46;5;26.32;66;13;0;0;0;0;0;0
Sudeste;MG;Ipuiúna;313150;1392;1083;309;176;143;33;3837;480;1579;15;8.15;10;4.93;9;44361;372;113;29;0;0;0;0;0
Sudeste;MG;Iraí de Minas;313160;1253;1140;113;756;686;70;3080;478;1432;8;44355;1;5.88;4;14.82;396;138;14;0;0;0;0;0
Sudeste;MG;Itabira;313170;11303;10176;1127;3366;2903;463;31565;4378;13898;180;11.59;120;11.78;72;17.87;854;90;24;8;0;0;0;71
Sudeste;MG;Itabirinha;313180;2217;1843;374;900;719;181;5777;990;2869;21;9.63;48;26.67;6;9.23;466;108;45;26;0;0;0;67
Sudeste;MG;Itabirito;313190;4453;3959;494;1144;994;150;12564;1391;4470;77;13.25;87;15.21;24;17.78;102;52;17;0;0;0;0;0
Sudeste;MG;Itacambira;313200;1135;241;894;836;168;668;3074;726;2150;23;13.45;20;44390;9;20.93;574;610;439;125;0;0;0;15
Sudeste;MG;Itacarambi;313210;3988;3002;986;1989;1422;567;11115;2044;6427;60;44539;87;14.48;22;11.76;424;1129;827;79;175;188;0;263
Sudeste;MG;Itaguara;313220;1756;1439;317;483;361;122;4572;544;1576;24;13.48;15;9.93;7;13.46;767;324;66;0;0;0;0;9
Sudeste;MG;Itaipé;313230;3009;1349;1660;2060;814;1246;8217;1844;6119;89;15.64;67;10.37;49;25.79;982;497;349;137;0;0;0;258
Sudeste;MG;Itajubá;313240;10218;9350;868;3082;2781;301;24668;3439;10244;169;12.93;143;12.16;57;18.15;466;93;21;0;0;0;0;0
Sudeste;MG;Itamarandiba;313250;6282;4340;1942;2135;1214;921;18086;2944;9198;91;12.26;58;9.43;31;16.85;1768;1077;685;152;0;0;0;302
Sudeste;MG;Itamarati de Minas;313260;688;570;118;255;194;61;1759;217;666;11;12.36;6;44354;4;13.79;407;44;14;19;0;0;0;19
Sudeste;MG;Itambacuri;313270;5906;4269;1637;3327;2158;1169;14264;3035;9087;138;18.65;127;12.16;66;34.02;934;321;213;115;0;0;0;172
Sudeste;MG;Itambé do Mato Dentro;313280;471;257;214;125;65;60;1304;158;509;5;15.15;3;7.69;3;50;267;35;14;9;0;0;0;0
Sudeste;MG;Itamogi;313290;1008;857;151;277;232;45;3046;428;1589;26;15.57;43;21.29;12;24.49;652;396;30;0;0;0;0;0
Sudeste;MG;Itamonte;313300;1666;1278;388;336;268;68;4370;555;1651;14;8.86;6;4.96;6;10.71;459;60;15;0;0;0;0;0
Sudeste;MG;Itanhandu;313310;1233;1074;159;291;253;38;3606;388;1244;2;1.83;4;3.67;1;44380;193;19;1;0;0;0;0;0
Sudeste;MG;Itanhomi;313320;2127;1647;480;590;433;157;5559;820;2673;64;19.16;41;13.49;17;18.28;452;152;31;3;0;0;0;16
Sudeste;MG;Itaobim;313330;4244;3282;962;2109;1506;603;10857;2153;6433;40;44415;58;10.96;18;44420;731;280;195;49;785;0;0;33
Sudeste;MG;Itapagipe;313340;1435;1351;84;739;690;49;3177;658;1710;11;44292;12;44323;5;13.89;994;267;25;0;0;0;0;0
Sudeste;MG;Itapecerica;313350;3018;2565;453;761;637;124;8211;903;2616;90;36.14;7;6.54;26;50;875;164;35;0;0;0;0;0
Sudeste;MG;Itapeva;313360;1557;972;585;561;357;204;3751;644;1837;16;44295;10;5.43;9;14.29;343;26;3;0;0;0;0;0
Sudeste;MG;Itatiaiuçu;313370;1524;1093;431;595;388;207;4144;658;1982;22;11.28;21;44358;9;20.93;161;18;1;0;0;0;0;0
Sudeste;MG;Itaú de Minas;313375;1852;1816;36;249;241;8;4822;429;1321;20;10.93;10;8.77;6;17.14;114;39;8;0;0;0;0;1
Sudeste;MG;Itaúna;313380;6463;6051;412;2278;2104;174;15890;2488;6643;72;10.24;68;10.33;29;44515;417;167;13;0;0;0;0;2
Sudeste;MG;Itaverava;313390;812;329;483;478;168;310;2560;502;1689;26;14.94;10;6.54;11;25;282;63;32;0;0;0;0;0
Sudeste;MG;Itinga;313400;3736;2154;1582;2240;1168;1072;9023;2134;5996;27;5.79;13;13.13;10;8.13;1039;506;379;47;511;330;9;95
Sudeste;MG;Itueta;313410;1370;995;375;788;573;215;3446;677;1944;24;44236;4;1.72;6;6.98;481;230;80;0;0;0;0;32
Sudeste;MG;Ituiutaba;313420;16006;15538;468;1077;1021;56;35118;2555;7895;37;4.28;36;4.95;21;8.78;768;300;86;0;0;0;0;0
Sudeste;MG;Itumirim;313430;985;889;96;347;322;25;2797;413;1271;5;7.46;2;3.92;1;6.67;248;56;4;0;0;0;0;0
Sudeste;MG;Iturama;313440;6125;6005;120;2617;2553;64;13178;2022;5724;70;7.41;57;6.36;31;12.76;276;116;13;0;0;0;0;0
Sudeste;MG;Itutinga;313450;749;641;108;188;151;37;1950;237;671;2;3.57;9;44338;1;5.88;207;46;7;0;0;0;0;0
Sudeste;MG;Jaboticatubas;313460;2142;1377;765;787;475;312;5984;1053;3395;71;20.76;25;13.37;26;28.26;503;59;8;0;0;0;0;1
Sudeste;MG;Jacinto;313470;2907;2417;490;1561;1259;302;7250;1595;4658;22;44233;31;13.14;5;4.42;619;527;318;70;159;0;0;63
Sudeste;MG;Jacuí;313480;1048;818;230;205;160;45;2943;236;772;9;10.84;8;44236;3;13.64;862;357;84;0;0;0;0;19
Sudeste;MG;Jacutinga;313490;3012;2676;336;377;306;71;7289;610;1989;11;44448;19;11.45;5;14.29;742;133;11;0;0;0;0;0
Sudeste;MG;Jaguaraçu;313500;548;479;69;167;137;30;1502;173;520;3;4.84;2;4.26;2;15.38;70;18;2;0;0;0;0;25
Sudeste;MG;Jaíba;313505;10310;6538;3772;7077;4219;2858;26713;5707;17945;527;44336;261;44426;211;28.47;1863;1753;1082;318;238;187;0;1607
Sudeste;MG;Jampruca;313507;1510;898;612;998;573;425;3814;811;2425;21;10;29;44211;13;22.42;258;63;49;21;0;0;0;0
Sudeste;MG;Janaúba;313510;14512;12296;2216;5306;4123;1183;39219;5889;17719;115;11.29;102;44357;31;11.57;1054;1442;841;384;956;178;0;793
Sudeste;MG;Januária;313520;15029;8084;6945;9042;4572;4470;40934;8123;25627;296;13.57;248;44359;130;22.26;2714;3053;2126;328;3562;763;57;318
Sudeste;MG;Japaraíba;313530;569;509;60;146;132;14;1641;167;522;0;0;2;44379;0;0;137;71;11;0;0;0;0;62
Sudeste;MG;Japonvar;313535;2435;889;1546;1246;379;867;6609;1309;3902;30;7.87;18;44321;12;10.16;843;887;698;160;153;209;2;30
Sudeste;MG;Jeceaba;313540;810;403;407;276;131;145;2357;353;1048;7;8.97;8;44365;3;44328;349;52;24;9;0;0;0;0
Sudeste;MG;Jenipapo de Minas;313545;1149;558;591;539;217;322;3752;618;2204;6;3.41;8;44412;1;44288;557;327;224;122;625;55;0;56
Sudeste;MG;Jequeri;313550;1836;1242;594;814;541;273;5424;992;3164;29;14.22;62;44369;6;12.24;1023;330;83;27;0;0;0;36
Sudeste;MG;Jequitaí;313560;2768;2220;548;1769;1361;408;5327;1374;3290;8;2.27;34;44448;2;1.98;358;228;173;101;0;0;0;60
Sudeste;MG;Jequitibá;313570;1017;369;648;333;103;230;2865;450;1445;11;44448;15;13.89;3;8.82;254;60;28;1;0;0;0;90
Sudeste;MG;Jequitinhonha;313580;6019;4080;1939;2885;1694;1191;14996;3028;8684;79;9.47;76;10.87;35;44454;1174;735;546;130;841;207;11;55
Sudeste;MG;Jesuânia;313590;1099;795;304;450;305;145;2986;451;1569;23;44241;26;14.77;10;20.84;278;123;45;0;0;0;0;0
Sudeste;MG;Joaíma;313600;4207;3044;1163;3003;2046;957;10809;2590;7659;50;44509;53;9.65;27;44244;645;385;311;86;727;109;10;23
